name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.ensure_user_has_admin_role\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""ensure_user_has_admin_role"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_ensure_user_has_admin_role_7d8b1a9615c1442b483f15918018d4ca
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.assign_therapist_role\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""assign_therapist_role"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_assign_therapist_role_4d89edb3187951a4b095482806d80c54
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.ensure_admin_role\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""ensure_admin_role"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_ensure_admin_role_f850e54dd7816c9f6c26d91da05ff643
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.manage_admin_users\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""manage_admin_users"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_manage_admin_users_48c0978e4fe91bceb817d9ca2582d3c9
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_schedule_data_batch\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_schedule_data_batch"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_schedule_data_batch_cbd82474dc24a8b30acc8a8acf585c67
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_billing_metrics\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_billing_metrics"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_billing_metrics_831978f8cb003a7dff54f877afc14ec1
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_session_metrics\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_session_metrics"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_session_metrics_c688b6b46e624d04f327054be0ebd145
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.ensure_all_users_admin\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""ensure_all_users_admin"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_ensure_all_users_admin_86acb28f8501a09cf0936517ad51b1c3
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.log_ai_performance\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""log_ai_performance"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_log_ai_performance_54dbf925af5998cc5d78e646050e8847
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.log_db_performance\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""log_db_performance"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_log_db_performance_ee9e789a905251e3e0bf7d7a58461ba4
